0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:16 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:16 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:16 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:42 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11054
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:42 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:42 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:42 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:42 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:54 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11047
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:54 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:51:54 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:52:03 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11054
0:0:0:0:0:0:0:1 - - [17/May/2018:13:52:03 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:52:03 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:19 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11075
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:19 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:19 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:19 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:19 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:24 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11075
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:24 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:24 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:25 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11075
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:25 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:25 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:39 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11072
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:39 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:39 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:53:40 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5667
0:0:0:0:0:0:0:1 - - [17/May/2018:13:59:19 +0800] "POST /Practical_Training/jsp/loginStu HTTP/1.1" 200 8259
0:0:0:0:0:0:0:1 - - [17/May/2018:13:59:19 +0800] "GET /Practical_Training/css/pageloader.css HTTP/1.1" 200 3410
0:0:0:0:0:0:0:1 - - [17/May/2018:13:59:19 +0800] "GET /Practical_Training/js/jquery.js HTTP/1.1" 200 258648
0:0:0:0:0:0:0:1 - - [17/May/2018:13:59:19 +0800] "GET /Practical_Training/js/pageloader.js HTTP/1.1" 200 1898
0:0:0:0:0:0:0:1 - - [17/May/2018:13:59:19 +0800] "GET /Practical_Training/jsp/page2.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [17/May/2018:13:59:48 +0800] "GET /Practical_Training/jsp/login.jsp HTTP/1.1" 200 5667
